acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax
"0";1098.06;131072;NaN;NaN;;;;;;;;;;;;;;;;;
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"0";1231.36;131072;130108.38;130184.0;"2022-02-04T10:29:21.541850";0;100000;5809.75;"A0_B131072,part=1,rate=50000";1;"90637.75,94989.31,100397.4,111463.15,111271.35,103621.83,96013.3,98588.70999999999,97480.0,99572.2,100597.59,97647.18,98652.8,96521.43000000001,94263.98,88905.74,59481.4,21324.36,20757.72,20849.55";"88.53,92.77,98.06,108.85,108.66,101.19,93.76,96.28,95.19,97.23,98.24,95.35000000000001,96.34,94.27,92.05,86.83,58.09,20.82,20.27,20.35";0.31;124.99;5257.68;5373.75;18821.1;3.1654667E7;1117.0;1117.0;NaN;NaN;25642997
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"0";974.42;131072;130113.55;130229.25;"2022-02-04T10:55:56.718613";0;100000;1596.75;"A0_B131072,part=1,rate=50000";1;"107544.16,113242.1,112013.08,110988.45,109246.79000000001,107471.53,106112.76999999999,104450.56,102680.45,98938.68,92064.14,89047.36,89030.73,89297.38,88980.64,89305.7,89130.61,89064.05,88764.06,89547.53";"105.04,110.59,109.39,108.39,106.69,104.95,103.63,102.0,100.28,96.62,89.91,86.97,86.94,87.21000000000001,86.9,87.21000000000001,87.04,86.98,86.69,87.45";0.33;124.99;1075.23;1588.5;89087.8;3.6556695E7;1117.0;1117.0;NaN;NaN;29607874
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"0";967.53;131072;130117.27;130212.75;"2022-02-04T11:04:29.169955";0;100000;1643.5;"A0_B131072,part=1,rate=100000";1;"104364.72,109296.93,109472.29,107895.0,107071.96,106963.38,104488.19,103763.73,102796.94,101538.76999999999,99588.95,98147.11,95945.59,91555.65,89330.62,88820.48999999999,89455.45,89247.26000000001,89338.85,89114.0";"101.92,106.73,106.9,105.38,104.57,104.45,102.03999999999999,101.34,100.38,99.17,97.26,95.84,93.7,89.4,87.23,86.73,87.36,87.15,87.25,87.03";0.33;125.0;1073.64;1580.5;88768.5;3.6609026E7;1117.0;1117.0;NaN;NaN;29777763
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"0";970.99;131072;43033.63;130198.0;"2022-02-04T11:20:41.707286";0;100000;8982.25;"A0_B131072,part=10,rate=100000";10;"109333.92,115540.20999999999,113967.31,112611.56,110665.39,108447.17,105594.27,100759.15,89386.19,89017.09,89068.06999999999,89071.41,89012.8,89090.42,89020.23000000001,89050.41,89027.14,89034.04,89070.34,89038.91";"106.77,112.83,111.3,109.98,108.07000000000001,105.91,103.11,98.39,87.3,86.92999999999999,86.98,86.98,86.93,87.01,86.94,86.96000000000001,86.93,86.94,86.99,86.96000000000001";0.32;117.12;236.85;8388.75;88717.0;3.6515829E7;1117.0;1117.0;NaN;NaN;29285387
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"0";991.49;131072;44551.48;130221.75;"2022-02-04T11:30:36.829151";0;100000;8554.75;"A0_B131072,part=10,rate=50000";10;"110573.48999999999,115568.33,114105.45,112638.37,110731.1,108504.57,105566.24,100406.09999999999,89117.64,89136.61,89122.0,89127.51,89146.4,89159.26,89049.93,89167.7,89087.55,89142.56,89126.57,89134.5";"107.99,112.87,111.43,109.99,108.14,105.97,103.09,98.06,87.03,87.06,87.04,87.03999999999999,87.05,87.06,86.96000000000001,87.08,87.0,87.06,87.05,87.05000000000001";0.31;120.6;266.55;8433.25;88990.23;3.6560429E7;1117.0;1117.0;NaN;NaN;29310458
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
all;1412.52;131072;61201.2;130243.75;"2022-02-04T11:46:31.737308";0;100000;10354.25;"Aall_B131072,part=10,rate=50000";10;"71723.2,80862.31,80081.89,77588.64,79525.86,80543.85,80204.71,82013.4,81118.31,80412.48,75549.19,81886.22,80223.27,81532.03,79343.07,79377.41,80170.74,80868.59,80245.2,80850.32";"70.03,78.97,78.21000000000001,75.77000000000001,77.67,78.65,78.32,80.1,79.22,78.53,73.79,79.97,78.34,79.61,77.49000000000001,77.50999999999999,78.29,78.97,78.37,78.95";0.36;159.01;629.19;8785.75;77824.05;2.9105252E7;1117.0;1117.0;50.96;346.25;24022532
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
all;1798.92;131072;130116.03;130217.0;"2022-02-04T11:58:12.776016";0;100000;3084.5;"Aall_B131072,part=1,rate=50000";1;"45433.18,54850.53999999999,55356.79,49415.490000000005,55630.05,51798.6,55542.73,53242.87,54098.73,55359.520000000004,50323.79,55131.72,51573.67,55765.27,55506.6,50790.3,55898.509999999995,50023.770000000004,56235.31,51834.52";"44.37,53.56,54.07,48.25,54.33,50.58,54.239999999999995,51.980000000000004,52.83,54.07,49.14,53.84,50.36,54.449999999999996,54.21,49.6,54.59,48.86,54.92,50.620000000000005";0.33;124.99;1767.27;2889.25;52791.22;1.946255E7;1117.0;1117.0;25.25;589.75;16059180
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
all;4758.63;16384;15660.71;15661.0;"2022-02-04T12:07:06.276285";0;100000;6028.5;"Aall_B16384,part=1,rate=50000";1;"16462.77,23687.82,24004.34,23839.38,23677.36,22710.98,21565.61,22592.34,23681.32,24046.4,23876.4,23818.44,23429.44,23972.4,23751.36,24086.42,23517.34,23579.4,23845.4,24022.36";"16.08,23.14,23.439999999999998,23.28,23.12,22.17,21.060000000000002,22.060000000000002,23.12,23.479999999999997,23.32,23.26,22.880000000000003,23.42,23.2,23.52,22.97,23.02,23.29,23.46";0.33;15.0;4304.34;4946.0;23187.94;8603251.0;1117.0;1117.0;12.43;34.25;7064444
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"0";938.06;16384;15660.9;15664.5;"2022-02-04T12:13:58.664935";0;100000;1551.5;"A0_B16384,part=1,rate=50000";1;"101294.3,106770.03,106561.90000000001,106789.38,105349.65,105143.15,103904.45,102790.06,100222.08,101907.67,100007.7,99354.54000000001,97945.64,96507.55,93504.51999999999,93249.46,87236.42,89988.17,88376.37,88941.53";"98.92,104.25999999999999,104.06,104.28,102.89,102.68,101.47,100.38,97.87,99.52,97.67,97.02000000000001,95.65,94.24,91.31,91.07,85.2,87.88,86.31,86.86";0.32;15.0;1053.41;1507.5;87945.97;3.6367571E7;1117.0;1117.0;NaN;NaN;29740605
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"1";990.09;16384;15660.82;15668.0;"2022-02-04T12:20:51.083008";0;100000;1675.25;"A1_B16384,part=1,rate=50000";1;"102093.52,108538.28,105929.01,105182.16,104324.18000000001,102839.1,103709.37,104610.43000000001,104381.45999999999,102407.28,100957.35,124069.15,99200.65,94781.7,90071.46,88675.38,88401.56,88878.67,88652.87,88782.01999999999";"99.71,105.99000000000001,103.44,102.71,101.89,100.43,101.28,102.16,101.94,100.0,98.6,121.16999999999999,96.88,92.56,87.95,86.6,86.33,86.8,86.57,86.71";0.3;15.0;1043.08;1499.0;88660.39;3.6353234E7;1117.0;1117.0;2.96;170.5;29681672
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"1";944.54;16384;15660.84;15672.0;"2022-02-04T12:28:39.317103";0;100000;1542.75;"A1_B16384,part=1,rate=100000";1;"104784.17,109379.83,109273.01,109597.55,107525.45999999999,108735.91,107453.37,105969.33,103875.86,100829.62,96388.81,88588.35,88761.56999999999,88769.83,88687.75,88587.1,88672.48,88719.26999999999,88765.98999999999,88693.08";"102.33,106.82,106.72,107.03,105.00999999999999,106.18,104.93,103.49,101.44,98.46,94.13,86.5,86.67999999999999,86.69,86.61,86.50999999999999,86.59,86.64,86.68,86.62";0.3;15.0;1012.76;1455.5;88407.42;3.635544E7;1117.0;1117.0;2.93;142.75;29524873
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"1";940.04;16384;9725.59;15662.75;"2022-02-04T12:39:55.742677";0;100000;9855.75;"A1_B16384,part=10,rate=100000";10;"109776.69,114460.88,112728.03,111666.07,109996.6,108082.52,104955.83,101045.14,90452.3,88531.2,88567.01000000001,88522.87,88492.82,88533.76000000001,88511.51999999999,88494.67,88511.5,88501.53,88501.91,88504.95999999999";"107.21,111.78,110.09,109.03999999999999,107.42,105.55000000000001,102.5,98.67,88.34,86.46000000000001,86.49,86.45,86.42,86.46000000000001,86.43,86.42,86.44,86.43,86.42,86.43";0.3;25.6;668.43;9669.5;88278.19;3.6317233E7;1117.0;1117.0;13.4;104.5;29145806
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"1";950.53;16384;9535.0;15666.5;"2022-02-04T12:47:56.070167";0;100000;9113.5;"A1_B16384,part=10,rate=50000";10;"109455.17,113819.28,113004.16,111532.69,109759.91,107924.29000000001,105143.83,101096.25,90289.36,88415.68,88407.03,88406.08,88403.27,88405.19,88389.83,88361.8,88450.57,88401.16,88409.1,88415.89";"106.9,111.14999999999999,110.35,108.92,107.19,105.4,102.68,98.72,88.18,86.35,86.33,86.34,86.34,86.34,86.32,86.3,86.38,86.34,86.34,86.35";0.3;24.64;624.96;8934.5;88326.53;3.6275708E7;1117.0;1117.0;12.09;194.5;29110686
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"1";969.37;32768;15097.18;32316.0;"2022-02-04T13:03:54.928389";0;100000;7179.25;"A1_B32768,part=10,rate=50000";10;"109733.0,114525.21,113368.11,112154.97,110155.62,108024.70999999999,105202.65,101260.68,90677.48999999999,88719.15,88718.15,88815.54000000001,88739.33,88711.43,88785.67,88740.14,88751.73999999999,88735.86,88760.95,88743.63";"107.16,111.84,110.71000000000001,109.52,107.58,105.49,102.74000000000001,98.89,88.54,86.64,86.64,86.74000000000001,86.65,86.64,86.71,86.66,86.67,86.65,86.68,86.66";0.31;38.23;439.27;7000.0;88614.18;3.6414829E7;1117.0;1117.0;12.3;166.25;29215167
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"0";922.0;524288;117634.16;524121.0;"2022-02-04T15:57:12.027926";0;100000;12936.25;"A0_B524288,part=10,rate=50000";10;"111340.76,114777.14,114328.25,112667.59,110791.68,108756.24,105727.38,100992.2,89525.91,89234.61,89283.23999999999,89118.69,89199.75,89148.26,89342.74,89263.47,89210.16,89109.54000000001,89170.32,89192.46";"108.74,112.09,111.65,110.03,108.2,106.21,103.24,98.63,87.42,87.14999999999999,87.19,87.03,87.11,87.06,87.25,87.17,87.13,87.02,87.08,87.1";0.3;282.51;190.19;12568.0;89078.49;3.6590051E7;1117.0;1117.0;NaN;NaN;29346079
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"0";1093.25;524288;523535.55;523871.0;"2022-02-04T16:03:53.311344";0;100000;1776.75;"A0_B524288,part=1,rate=50000";1;"107312.5,112256.16,110858.04,108477.41,106431.13,103346.88,98484.65,89330.44,89196.33,89229.82,89296.9,89229.91,89263.21,89229.61,89162.27,89263.02,89296.73000000001,89162.67,89330.54999999999,89261.14";"104.79,109.63,108.25999999999999,105.94,103.95,100.92999999999999,96.18,87.24,87.11,87.13,87.21,87.14,87.17,87.14,87.07,87.18,87.21,87.07,87.24000000000001,87.18";0.32;502.92;1101.7;1297.25;89106.27;3.5829239E7;1117.0;1117.0;NaN;NaN;28709882
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
"1";1158.19;524288;523563.61;524012.75;"2022-02-04T16:12:01.429779";0;100000;1743.25;"A1_B524288,part=1,rate=50000";1;"107867.14,113137.76,111998.07,110355.08,109047.17,108343.12,105962.18,104245.25,101200.8,94024.93,89162.86,89129.35,89263.38,89262.98,89195.95999999999,89159.91,89128.98,89263.26000000001,89095.77,89229.73000000001";"105.33,110.48,109.38,107.76,106.49000000000001,105.79,103.48,101.8,98.83,91.82,87.06,87.03999999999999,87.17,87.17,87.11,87.07,87.04,87.17,87.00999999999999,87.14";0.41;502.95;1277.92;1591.75;89133.25;3.6602007E7;1117.0;1117.0;32.69;285.5;29497003
acks;aveLatency;batchSize;batchSizeAvg;batchSizeMax;benchTime;failedMessages;lingerMs;maxLatency;name;partitions;producerRates;producerThroughputs;publishRate;recPerReqAvg;recQueTimeAvg;recQueTimeMax;recSendRate;recSendTotal;recSizeAvg;recSizeMax;reqLatAvg;reqLatMax;sentMessages
